time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-08-05T03:44:33.690Z,40.4076667,-125.1515,5.34,2.67,md,20,306,0.6296,0.21,nc,nc73242546,2019-08-07T04:30:02.735Z,"74km W of Petrolia, CA",earthquake,1.48,1.03,0.176,36,reviewed,nc,nc
2019-08-04T04:54:21.760Z,40.1855,-125.1586667,6.92,2.68,md,7,340,0.6331,0.1,nc,nc73241901,2020-02-26T00:21:35.006Z,"76km WSW of Petrolia, CA",earthquake,3.21,1.61,0.142,32,reviewed,nc,nc
2019-08-02T10:55:28.660Z,41.6158333,-125.2933333,15.48,2.55,md,23,261,0.9523,0.22,nc,nc73240731,2019-08-03T03:32:02.270Z,"92km W of Crescent City, CA",earthquake,2.79,5.12,0.167,18,reviewed,nc,nc
2019-07-30T23:22:38.780Z,40.3903333,-125.2731667,23.97,2.81,md,16,249,0.7185,0.15,nc,nc73238851,2019-07-31T04:40:02.315Z,"84km W of Petrolia, CA",earthquake,1.29,31.61,0.162,19,reviewed,nc,nc
2019-07-17T14:59:59.507Z,43.4212,-127.1745,10,5.4,mww,,158,2.149,0.84,us,us70004m7u,2020-02-26T15:10:02.300Z,"227km W of Bandon, Oregon",earthquake,7.9,1.9,0.031,103,reviewed,us,us
2019-07-17T07:08:57.608Z,43.3697,-127.099,10,2.7,ml,,267,2.084,0.91,us,us70004m35,2019-10-04T16:37:07.040Z,"220km W of Bandon, Oregon",earthquake,4.6,2,0.043,72,reviewed,us,us
2019-07-13T00:24:41.410Z,41.7448333,-125.598,22.44,2.92,md,35,253,1.125,0.29,nc,nc73221346,2019-09-28T20:00:35.040Z,"114km WSW of Brookings, OR",earthquake,2.13,12.08,0.118,24,reviewed,nc,nc
2019-07-09T18:15:28.570Z,40.3453333,-125.153,8.65,2.78,md,13,308,0.6223,0.15,nc,nc73216541,2019-07-12T12:44:02.577Z,"74km W of Petrolia, CA",earthquake,2.57,5,0.125,27,reviewed,nc,nc
2019-07-03T13:17:24.430Z,41.3181667,-126.7893333,9.62,3.12,md,15,306,2.04,0.13,nc,nc73205546,2019-07-04T04:06:02.447Z,"221km WSW of Crescent City, CA",earthquake,1.25,31.61,0.186,23,reviewed,nc,nc
2019-06-26T00:29:51.305Z,43.3699,-127.1632,10,4.1,mb,,184,2.13,1.11,us,us7000450i,2019-09-14T16:08:08.040Z,"225km W of Bandon, Oregon",earthquake,8.2,2,0.073,51,reviewed,us,us
2019-06-25T11:14:05.480Z,40.3546667,-125.2755,14.15,2.55,md,12,327,0.7163,0.31,nc,nc73201901,2019-06-26T03:03:04.282Z,"84km W of Petrolia, CA",earthquake,14.76,17.61,0.142,24,reviewed,nc,nc
2019-06-21T22:03:18.795Z,43.7913,-127.8349,10,3.2,ml,,283,2.714,1.05,us,us600044hk,2019-09-11T15:19:28.040Z,"287km WNW of Bandon, Oregon",earthquake,4.8,2,0.046,62,reviewed,us,us
2019-06-11T01:48:23.998Z,43.244,-127.4197,10,2.7,ml,,240,2.291,1.07,us,us70003xyt,2019-09-06T14:25:32.040Z,"244km WNW of Port Orford, Oregon",earthquake,5.9,2,0.046,62,reviewed,us,us
2019-05-20T11:15:44.380Z,40.437,-125.2878333,24.34,3,ml,54,273,0.7262,0.19,nc,nc73184251,2019-08-07T22:03:55.040Z,"86km W of Petrolia, CA",earthquake,1.22,10.38,0.21,10,reviewed,nc,nc
2019-05-18T20:43:58.484Z,43.4007,-126.8605,10,4.2,mb,,182,1.923,0.97,us,us70003n3n,2019-08-07T22:03:50.040Z,"201km W of Bandon, Oregon",earthquake,7.8,2,0.092,33,reviewed,us,us
2019-05-17T17:08:01.548Z,40.6735,-127.1801,12.66,3.3,ml,,254,2.174,0.67,us,us70003mn1,2019-08-07T22:03:45.040Z,"246km W of Ferndale, California",earthquake,5.9,9.4,0.045,64,reviewed,us,us
2019-05-11T22:44:26.130Z,41.7608,-126.1382,23.73,3,md,,291,1.495,0.77,us,us70003jww,2019-08-01T17:15:12.040Z,"157km WSW of Brookings, Oregon",earthquake,7,2,0.137,14,reviewed,nc,nc
2019-05-11T22:11:12.653Z,41.7957,-126.0252,10.75,4.1,mwr,,212,1.404,0.68,us,us70003jwm,2019-08-01T17:15:12.040Z,"147km W of Brookings, Oregon",earthquake,6.6,7.3,,4,reviewed,us,nc
2019-05-09T07:14:43.195Z,40.6272,-127.3873,10,3.1,ml,,265,2.328,0.7,us,us70003iqs,2019-08-01T17:15:06.040Z,"264km W of Ferndale, California",earthquake,9.4,2,0.051,50,reviewed,us,us
2019-05-05T07:12:01.154Z,40.6137,-127.5097,10,3.2,ml,,253,2.59,0.99,us,us70003gxv,2019-07-25T18:54:20.040Z,"274km W of Ferndale, California",earthquake,11.4,2,0.048,56,reviewed,us,us
2019-05-05T07:05:29.817Z,40.6774,-126.7318,10,3.1,ml,,260,2.006,0.63,us,us70003gxp,2019-07-25T18:54:20.040Z,"209km W of Ferndale, California",earthquake,5.4,2,0.047,60,reviewed,us,us
2019-05-05T06:46:57.006Z,40.6203,-127.3338,10,5,mww,,252,2.287,0.69,us,us70003gxb,2020-02-23T06:57:20.337Z,"259km W of Ferndale, California",earthquake,8.8,2,0.033,86,reviewed,us,us
2019-05-05T06:32:10.525Z,40.561,-127.6117,10,4.3,mb,,254,2.786,0.68,us,us70003gx6,2019-07-25T18:54:20.040Z,"283km W of Ferndale, California",earthquake,4.4,2,0.057,87,reviewed,us,us
2019-05-05T06:29:34.607Z,40.5934,-127.2416,10,3.3,ml,,247,2.386,0.68,us,us70003gx2,2019-07-25T18:54:20.040Z,"252km W of Ferndale, California",earthquake,9.4,2,0.046,62,reviewed,us,us
2019-05-05T04:17:20.079Z,40.5449,-127.8141,10,3.1,ml,,268,2.819,0.65,us,us70003gvp,2019-07-25T18:54:20.040Z,"300km W of Ferndale, California",earthquake,11.1,2,0.06,36,reviewed,us,us
2019-04-23T17:53:49.045Z,40.518,-127.0119,10,3.7,mwr,,198,2.207,0.88,us,us70003aud,2019-07-13T18:42:35.040Z,"232km W of Ferndale, California",earthquake,8.1,2,0.068,21,reviewed,us,us
2019-04-23T08:58:22.756Z,43.6833,-127.51,10,3.9,mb,,191,2.51,1.2,us,us70003aks,2019-07-13T18:42:34.040Z,"258km WNW of Bandon, Oregon",earthquake,7.9,2,0.084,44,reviewed,us,us
2019-04-22T23:21:01.030Z,40.3765,-125.1891667,4.92,3.08,ml,28,288,0.6531,0.28,nc,nc73170430,2019-06-26T20:55:16.040Z,"77km W of Petrolia, CA",earthquake,1.61,1.91,0.246,12,reviewed,nc,nc
2019-04-20T10:28:21.120Z,41.0583333,-125.2738333,23.7,2.78,md,38,273,0.8704,0.31,nc,nc73169245,2019-04-23T03:29:02.965Z,"95km W of Trinidad, CA",earthquake,3.66,16.34,0.259,30,reviewed,nc,nc
2019-04-19T23:17:33.480Z,40.392,-125.9101667,14.94,3.29,ml,30,304,1.203,0.24,nc,nc73169010,2019-06-26T20:54:58.040Z,"138km W of Petrolia, CA",earthquake,9.8,12.53,0.183,8,reviewed,nc,nc
